ID;TarifID;DateStart;DateEnd;Value
32;27;2010-01-01 00:00:00;2010-12-31 00:00:00;1.1700
33;28;2010-01-01 00:00:00;2010-12-31 00:00:00;0.5900
34;27;2011-01-01 00:00:00;2012-06-30 00:00:00;1.2900
35;28;2011-01-01 00:00:00;2012-06-30 00:00:00;0.6400
36;2;2009-01-01 00:00:00;2009-12-31 00:00:00;1.5100
37;3;2009-01-01 00:00:00;2009-12-31 00:00:00;0.7550
39;23;2011-01-01 00:00:00;2012-07-31 00:00:00;3.5700
40;10;2011-04-01 00:00:00;2012-06-30 00:00:00;1.8300
41;29;2011-04-01 00:00:00;2012-06-30 00:00:00;1.8300
42;23;2010-01-01 00:00:00;2010-12-31 00:00:00;2.6300
43;4;2009-01-01 00:00:00;2009-12-31 00:00:00;1.0500
44;4;2008-01-01 00:00:00;2008-12-31 00:00:00;0.8300
45;11;2009-01-01 00:00:00;2009-12-31 00:00:00;1.5100
46;12;2009-01-01 00:00:00;2009-12-31 00:00:00;0.7600
47;1;2008-01-01 00:00:00;2008-12-31 00:00:00;1.1900
48;10;2009-01-01 00:00:00;2009-12-31 00:00:00;1.5100
49;5;2009-01-01 00:00:00;2009-12-31 00:00:00;1.0500
50;6;2009-01-01 00:00:00;2009-12-31 00:00:00;0.5300
51;5;2008-01-01 00:00:00;2008-12-31 00:00:00;0.8300
52;6;2008-01-01 00:00:00;2008-12-31 00:00:00;0.4200
53;2;2008-01-01 00:00:00;2008-12-31 00:00:00;1.1900
54;3;2008-01-01 00:00:00;2008-12-31 00:00:00;0.6000
55;3;2007-01-01 00:00:00;2007-12-31 00:00:00;0.5200
56;2;2006-01-01 00:00:00;2006-12-31 00:00:00;0.9200
57;3;2006-01-01 00:00:00;2006-12-31 00:00:00;0.4600
58;2;2007-01-01 00:00:00;2007-12-31 00:00:00;1.0400
59;1;2012-07-01 00:00:00;2013-06-30 00:00:00;1.9400
60;2;2012-07-01 00:00:00;2013-06-30 00:00:00;1.9500
63;3;2012-07-01 00:00:00;2013-06-30 00:00:00;0.9700
65;4;2012-07-01 00:00:00;2013-06-30 00:00:00;1.3600
67;5;2012-07-01 00:00:00;2013-06-30 00:00:00;1.3700
69;6;2012-07-01 00:00:00;2013-06-30 00:00:00;0.6800
71;7;2012-07-01 00:00:00;2013-06-30 00:00:00;1.3600
72;7;2011-04-01 00:00:00;2012-06-30 00:00:00;1.2800
73;8;2012-07-01 00:00:00;2013-06-30 00:00:00;1.3700
74;8;2011-01-01 00:00:00;2012-06-30 00:00:00;1.2900
75;9;2012-07-01 00:00:00;2013-06-30 00:00:00;0.6800
77;10;2012-07-01 00:00:00;2013-06-30 00:00:00;1.9400
79;11;2012-07-01 00:00:00;2013-06-30 00:00:00;1.9500
81;12;2012-07-01 00:00:00;2013-06-30 00:00:00;0.9700
83;27;2012-07-01 00:00:00;2013-06-30 00:00:00;1.3700
85;28;2012-07-01 00:00:00;2013-06-30 00:00:00;0.6800
88;23;2011-01-01 00:00:00;2011-01-30 00:00:00;3.5700
89;23;2012-08-01 00:00:00;2012-08-31 00:00:00;3.6400
90;10;2008-01-01 00:00:00;2008-12-31 00:00:00;1.1900
91;23;2011-01-01 00:00:00;2011-01-31 00:00:00;3.7800
92;23;2011-02-01 00:00:00;2011-02-28 00:00:00;3.6200
93;23;2011-03-01 00:00:00;2011-03-31 00:00:00;3.5700
94;23;2011-04-01 00:00:00;2011-04-30 00:00:00;3.6600
95;23;2011-05-01 00:00:00;2011-05-01 00:00:00;3.5300
96;23;2011-06-01 00:00:00;2011-06-30 00:00:00;3.5500
97;23;2011-07-01 00:00:00;2011-07-31 00:00:00;3.2500
98;23;2011-08-01 00:00:00;2011-08-31 00:00:00;3.3700
99;23;2011-09-01 00:00:00;2011-09-30 00:00:00;3.4600
100;23;2011-10-01 00:00:00;2011-10-31 00:00:00;3.6100
101;23;2011-11-01 00:00:00;2011-11-30 00:00:00;3.4800
102;23;2011-12-01 00:00:00;2011-12-31 00:00:00;3.3800
103;23;2012-01-01 00:00:00;2012-01-31 00:00:00;3.6300
104;23;2012-02-01 00:00:00;2012-02-29 00:00:00;3.3300
105;23;2012-03-01 00:00:00;2012-03-31 00:00:00;3.3900
106;23;2012-04-01 00:00:00;2012-04-30 00:00:00;3.0800
107;23;2012-05-01 00:00:00;2012-05-31 00:00:00;3.4200
108;23;2012-06-01 00:00:00;2012-06-30 00:00:00;3.0800
109;23;2012-07-01 00:00:00;2012-07-31 00:00:00;3.6400
110;23;2011-05-01 00:00:00;2011-05-31 00:00:00;3.5300
112;23;2012-09-01 00:00:00;2012-09-30 00:00:00;3.4500
115;23;2012-10-01 00:00:00;2012-10-31 00:00:00;3.4500
116;23;2012-11-01 00:00:00;2012-11-30 00:00:00;3.4400
117;23;2012-12-01 00:00:00;2012-12-31 00:00:00;3.4400
118;8;2009-01-01 00:00:00;2009-12-31 00:00:00;1.0500
119;23;2013-01-01 00:00:00;2013-01-31 00:00:00;3.2700
120;29;2012-07-01 00:00:00;2013-06-30 00:00:00;1.9400
121;23;2013-02-01 00:00:00;2013-02-28 00:00:00;3.4300
122;23;2013-03-01 00:00:00;2013-03-31 00:00:00;3.3800
123;23;2013-04-01 00:00:00;2013-04-30 00:00:00;3.2800
124;23;2013-05-01 00:00:00;2013-05-31 00:00:00;3.3700
125;23;2013-06-01 00:00:00;2013-06-30 00:00:00;3.4200
126;1;2013-07-01 00:00:00;2014-06-30 00:00:00;2.1700
127;2;2013-07-01 00:00:00;2014-06-30 00:00:00;2.1800
128;3;2013-07-01 00:00:00;2014-06-30 00:00:00;1.0900
129;4;2013-07-01 00:00:00;2014-06-30 00:00:00;1.5200
130;5;2013-07-01 00:00:00;2014-06-30 00:00:00;1.5300
131;6;2013-07-01 00:00:00;2014-06-30 00:00:00;0.7700
132;7;2013-07-01 00:00:00;2014-06-30 00:00:00;1.5200
133;8;2013-07-01 00:00:00;2014-06-30 00:00:00;1.5300
134;9;2013-07-01 00:00:00;2014-06-30 00:00:00;0.7700
135;10;2013-07-01 00:00:00;2014-06-30 00:00:00;2.1700
136;11;2013-07-01 00:00:00;2014-06-30 00:00:00;2.1800
137;12;2013-07-01 00:00:00;2014-06-30 00:00:00;1.0900
138;27;2013-07-01 00:00:00;2014-06-30 00:00:00;1.5300
139;28;2013-07-01 00:00:00;2014-06-30 00:00:00;0.7700
140;29;2013-07-01 00:00:00;2014-06-30 00:00:00;1.5200
141;23;2013-07-01 00:00:00;2013-07-31 00:00:00;3.9900
142;23;2013-08-01 00:00:00;2013-08-31 00:00:00;3.9400
143;23;2008-01-01 00:00:00;2008-12-31 00:00:00;1.7600
144;23;2009-01-01 00:00:00;2009-12-31 00:00:00;2.2300
145;23;2013-09-01 00:00:00;2013-09-30 00:00:00;3.7400
146;23;2013-10-01 00:00:00;2013-10-31 00:00:00;3.8500
147;23;2013-11-01 00:00:00;2013-11-30 00:00:00;3.6500
1147;23;2013-12-01 00:00:00;2013-12-31 00:00:00;3.6600
1149;23;2014-01-01 00:00:00;2014-01-31 00:00:00;3.8700
1150;23;2014-02-01 00:00:00;2014-02-28 00:00:00;3.8700
1151;5;2014-04-01 00:00:00;2014-06-30 00:00:00;1.5300
1152;6;2014-04-01 00:00:00;2014-06-30 00:00:00;0.7630
1154;23;2014-03-01 00:00:00;2014-03-31 00:00:00;3.8800
1155;23;2014-04-01 00:00:00;2014-04-30 00:00:00;4.1600
1156;23;2014-05-01 00:00:00;2014-05-31 00:00:00;4.1500
1157;23;2014-06-01 00:00:00;2014-06-30 00:00:00;4.1000
1158;1;2014-07-01 00:00:00;2015-06-30 00:00:00;2.2500
1159;2;2014-07-01 00:00:00;2015-06-30 00:00:00;2.2600
1160;3;2014-07-01 00:00:00;2015-06-30 00:00:00;1.1300
1161;4;2014-07-01 00:00:00;2015-06-30 00:00:00;1.5800
1162;5;2014-07-01 00:00:00;2015-06-30 00:00:00;1.5800
1163;6;2014-07-01 00:00:00;2015-06-30 00:00:00;0.7900
1164;7;2014-07-01 00:00:00;2015-06-30 00:00:00;1.5800
1165;8;2014-07-01 00:00:00;2015-06-30 00:00:00;1.5800
1166;9;2014-07-01 00:00:00;2015-06-30 00:00:00;0.7900
1167;10;2014-07-01 00:00:00;2015-06-30 00:00:00;2.2500
1168;11;2014-07-01 00:00:00;2015-06-30 00:00:00;2.2600
1169;12;2014-07-01 00:00:00;2015-06-30 00:00:00;1.1300
1170;27;2014-07-01 00:00:00;2015-06-30 00:00:00;1.5800
1171;28;2014-07-01 00:00:00;2015-06-30 00:00:00;0.7900
1172;29;2014-07-01 00:00:00;2015-06-30 00:00:00;1.5800
2158;9;2014-07-01 00:00:00;2014-07-31 00:00:00;4.1700
2160;23;2014-07-01 00:00:00;2014-07-31 00:00:00;4.1700
2161;23;2014-08-01 00:00:00;2014-08-31 00:00:00;4.0700
2162;23;2014-09-01 00:00:00;2014-09-30 00:00:00;3.9500
2163;23;2014-10-01 00:00:00;2014-10-31 00:00:00;3.9500
2164;23;2014-11-01 00:00:00;2014-11-30 00:00:00;3.8500
2165;23;2014-12-01 00:00:00;2014-12-31 00:00:00;3.7500
2166;23;2015-01-01 00:00:00;2015-01-31 00:00:00;3.9400
2167;23;2015-02-01 00:00:00;2015-02-28 00:00:00;3.9800
2168;23;2015-03-01 00:00:00;2015-03-31 00:00:00;4.0100
2169;23;2015-04-01 00:00:00;2015-04-30 00:00:00;3.9400
2170;23;2015-05-01 00:00:00;2015-05-31 00:00:00;3.8000
2171;23;2015-06-01 00:00:00;2015-06-30 00:00:00;3.8900
2175;1;2015-07-01 00:00:00;2016-06-30 00:00:00;2.4400
2176;2;2015-07-01 00:00:00;2016-06-30 00:00:00;2.4900
2177;3;2015-07-01 00:00:00;2016-06-30 00:00:00;1.2400
2178;4;2015-07-01 00:00:00;2016-06-30 00:00:00;1.7100
2179;5;2015-07-01 00:00:00;2016-06-30 00:00:00;1.7400
2180;6;2015-07-01 00:00:00;2016-06-30 00:00:00;0.8700
2181;7;2015-07-01 00:00:00;2016-06-30 00:00:00;1.7100
2182;8;2015-07-01 00:00:00;2016-06-30 00:00:00;1.7400
2183;9;2015-07-01 00:00:00;2016-06-30 00:00:00;0.8700
2184;10;2015-07-01 00:00:00;2016-06-30 00:00:00;2.4400
2185;11;2015-07-01 00:00:00;2016-06-30 00:00:00;2.4900
2186;12;2015-07-01 00:00:00;2016-06-30 00:00:00;1.2400
2187;27;2015-07-01 00:00:00;2016-06-30 00:00:00;1.7400
2188;28;2015-07-01 00:00:00;2016-06-30 00:00:00;0.8700
2189;29;2015-07-01 00:00:00;2016-06-30 00:00:00;1.7100
2190;23;2015-07-01 00:00:00;2015-07-31 00:00:00;4.3600
2191;23;2015-08-01 00:00:00;2015-08-31 00:00:00;4.2700
2192;23;2015-09-01 00:00:00;2015-09-30 00:00:00;4.5600
